index,premise,hypothesis,concatenation_spectral_k2,concatenation_gmm_k2,concatenation_hierarchical_k2,concatenation_spectral_k3,concatenation_gmm_k3,concatenation_hierarchical_k3,concatenation_spectral_k4,concatenation_gmm_k4,concatenation_hierarchical_k4,concatenation_spectral_k5,concatenation_gmm_k5,concatenation_hierarchical_k5,concatenation_spectral_k10,concatenation_gmm_k10,concatenation_hierarchical_k10,semantic_coherence_spectral_k2,semantic_coherence_gmm_k2,semantic_coherence_hierarchical_k2,semantic_coherence_spectral_k3,semantic_coherence_gmm_k3,semantic_coherence_hierarchical_k3,semantic_coherence_spectral_k4,semantic_coherence_gmm_k4,semantic_coherence_hierarchical_k4,semantic_coherence_spectral_k5,semantic_coherence_gmm_k5,semantic_coherence_hierarchical_k5,semantic_coherence_spectral_k10,semantic_coherence_gmm_k10,semantic_coherence_hierarchical_k10
0,A young couple posing on a couch.,A couple dance together at prom.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
1,"One man runs with a rugby ball, while another tries to tackle him from behind his left shoulder, on a sand field.",People are playing soccer.,0,0,0,2,0,2,2,0,2,1,0,2,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,9,3,0
2,A girl with bright red-hair and black clothes is posing on a tree trunk.,A girl sits on a curb.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,1,0,0,0,0,0,3,0,0,0,0,6,5,6
3,A woman in a gray top gestures next to a woman with a knit had holding a wineglass.,The two women are in seperate rooms,0,0,0,2,0,1,0,3,0,2,3,1,2,9,5,0,0,1,0,2,1,0,0,1,0,4,4,1,8,4
4,A bearded man in jeans and a blue shirt is outdoors holding a rainbow elephant painted on poster board.,A bearded man is outdoors holding a giraffe\,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,1,2,0,1,2,7,1,2
5,A man in a black hat walks down the street.,The man is sleeping.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
6,A stadium full of people watch a game.,People eating bananas,0,0,0,2,0,2,0,0,2,2,0,2,9,6,7,0,0,1,0,2,1,0,0,1,0,4,4,1,8,4
7,A man with a skateboard performs a trick.,The man is eating at the table.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
8,A couple posing in wigs,The people's bodies are in no way touching any surface or object or substance except the ground they are standing on.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8
9,A little dark-haired girl in a blue dress is playing with a pink Hula Hoop.,A girl is playing with pom poms.,0,1,0,1,2,1,2,3,0,4,2,1,2,4,6,0,1,0,0,1,0,0,1,0,0,0,0,6,5,6
10,"Two people sitting on the grass, presumably lovers, with a heart shape behind them.",Two lover on a hot air balloon.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
11,Small children enjoy themselves sledding.,The children are enjoying themselves as they perform activities typically associated with hot summer days.,0,0,1,2,0,0,2,0,1,4,2,4,0,7,8,0,1,0,2,0,0,2,3,0,2,0,1,5,3,7
12,A man in a British shirt is standing with a cane.,A woman in a cuban hat is swimming with a cane.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
13,A Chinese olympian lifting weights in a competition.,A man is sleeping.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,2,0,0,1,0,2,1,0,2,1,0,4,4,7,4,4
14,"From one girl tackling another, I say hold on to your drink!",A boy eats a snack.,0,1,0,1,0,1,2,0,0,4,2,0,0,2,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
15,A dog is jumping across an obstacle.,A dog is sleeping in a cage.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,2,0,1,2,3,1,4,3,2,9,3
16,A child climbing up a set of cement stairs.,A child climbing on a jungle gym.,0,1,1,1,2,0,2,1,1,4,2,4,0,2,9,0,1,0,0,1,2,0,1,2,0,3,2,1,7,2
17,Hockey players prepare for a face off before a crowd in an arena.,Players are in the lockerroom,0,0,0,2,0,2,2,0,2,1,0,2,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0
18,A man is banging on pots and pans in his kitchen.,The man hasn't made any noise all day.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
19,A man carving a wooden statue with a chainsaw.,A woman carving a wooden statue with a chainsaw.,0,1,0,1,2,1,1,3,0,0,3,0,1,4,0,0,1,0,0,1,2,0,1,2,0,1,2,7,7,2
20,"A player watches the tennis ball he hit go flying, as the crowd watches.",No one is watching the tennis player.,0,1,0,2,1,2,2,1,2,1,1,2,3,5,7,0,1,0,0,0,2,0,3,2,0,0,2,9,3,2
21,A security officer is monitoring the crowd across the water.,Paul Blart eats a hot dog.,0,1,0,1,1,1,0,1,0,2,1,0,9,1,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
22,A man dressed in a light shirt and coveralls attempting to work on a train locomotive.,The man is riding a train.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,2,2,7,1,2
23,Two cyclists cross the street on a very breezy California day.,a group of people swimming,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,2,1,0,2,1,0,4,4,1,8,4
24,This guy in the green shirt is showing how easy it is to jump and act a fool on wet surface.,A man is swimming in the ocean.,0,1,0,1,1,2,1,1,2,0,1,2,1,8,1,0,0,1,0,2,1,0,2,1,0,4,4,7,6,4
25,A woman in pink is standing alone in the middle of the street.,The woman is wearing black.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
26,A young boy is sitting in front of a computer and typing words onto the screen.,The boy is cleaning his room.,0,1,1,1,1,0,2,1,1,4,2,4,0,2,9,0,0,0,0,0,0,0,3,0,0,3,1,0,3,5
27,An elderly man swims with others.,A woman playing bridge.,0,1,0,2,2,1,0,3,0,2,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
28,Woman in pink shirt holding little boy.,a man holds a boy,0,1,0,1,1,1,2,1,0,4,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,3,1,1,7,5
29,A white dog with orange ribbons is jumping up to see a countertop.,A white dog eats from the bowl.,1,1,0,0,2,1,3,2,0,3,4,0,5,3,0,1,0,0,1,0,0,1,3,3,1,3,3,2,9,3
30,Black dog jumps for white ball.,The dog is sleeping.,1,1,1,0,2,0,3,2,3,3,4,3,5,3,3,1,0,0,1,2,0,1,2,3,1,4,3,2,9,3
31,A bike rider in the air above a ramp.,A bike rider standing at the opening gate.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,0,0,1,0,0,3,0,8,7,0
32,A bride stands on the curb looking down the road.,the bride stayed in the hotel all day due to the rain,0,1,0,1,2,1,0,3,0,2,3,0,9,9,2,0,0,0,0,2,0,0,2,0,0,4,0,7,2,0
33,A man holds on to the tree while holding a yellow container.,A man sits at a kitchen table.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
34,A bunch of businessmen are gathered for a meeting.,A group of businessmen are playing hockey indoors.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,1,0,0,1,2,0,1,2,0,0,2,1,0,2
35,A crowd of villagers in colorful hats surrounding packages made from an old truck in a jungle.,The group is taking a tour of historical downtown London.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,1,0,2,1,0,2,1,0,4,4,1,2,4
36,A lone person leans over the railing of a pier while enjoying a bag of chips.,A person is carrying women over to the bench where is dog 'Chips' is sitting and wagging his tail.,0,1,0,1,2,1,1,3,0,0,3,0,9,1,0,0,1,1,0,0,1,0,3,1,0,0,4,1,3,4
37,A group of people are standing together.,The people are sitting on the sidewalk far apart.,0,0,0,2,0,2,0,0,2,2,0,2,9,6,1,0,0,0,0,2,0,0,2,0,0,4,0,1,8,8
38,Two men in brown robes walk away from a columned building.,Two men were walking away from the nuclear blast that killed everyone else on earth.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,2,0,0,2,0,0,2,1,3,2
39,Two men are sitting on the floor under a staircase playing guitars.,Two men are sitting and doing nothing.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
40,soccer players stand on the field.,the field is ready for football.,0,0,0,2,0,2,2,0,2,1,0,2,3,0,7,0,1,0,0,1,0,0,1,0,0,0,0,9,0,0
41,A group of men and women are in the carnival ride.,The carnival is full of alien killer clowns.,0,0,0,1,0,1,1,0,0,0,0,0,1,6,0,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
42,A brown and black dog leaps through the freshly mown grass.,A person playing around on a sunny day.,0,1,0,1,2,1,2,2,0,4,4,0,0,3,0,1,0,0,1,0,0,1,3,3,1,3,3,2,9,3
43,Five ladies wearing leotards and ballerina shoes practicing in a studio.,Everyone is wearing Victorian dresses.,0,0,0,2,0,1,0,0,0,2,0,1,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
44,A man and a woman are standing in the middle of the highway looking at motorcycles on the road as traffic is passing.,The man is shooting laser beams from his eyes.,0,0,0,1,1,1,1,0,0,0,0,0,1,8,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
45,"A man is skating with his t-shirt tucked in his back pant which says ""Just Love me"".",A woman is sitting in a cafe.,0,1,0,1,2,1,1,3,0,0,3,0,2,4,0,0,0,1,0,2,1,0,2,1,0,4,4,7,2,4
46,A woman stands next to a worn vintage vehicle in a field.,A woman driving a truck through a field.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,1,2,0,1,2,0,0,2,1,0,2
47,Two young men stand in front of a sign advertising a website.,3 men are in front of a victorias secret,0,0,0,2,0,2,0,0,2,2,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
48,A male is sitting in a chair with a blue surgical mask on.,A man stands to put on a mask.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,1,0,0,1,2,0,3,2,0,2,2,7,1,2
49,A woman performing a dance move in an empty swimming pool with nike shoes on her feet.,she is dancing in her studio,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,0,2,0,3,2,0,0,2,1,3,2
50,Three women are crossing a street,The three women are driving to a store.,0,0,0,2,0,2,0,0,2,2,3,2,2,9,1,0,0,1,0,0,1,0,3,1,0,0,4,1,3,4
51,A man wearing a white shirt taking a nap with a green hat over his eyes.,The man is playing basketball.,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,2,1,0,2,1,0,2,4,7,6,9
52,An Asian woman in a skimpy top and g-string inspects her appearance while standing behind glass in a room.,The woman is wearing frumpy clothes.,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,1,0,0,0,2,0,0,2,0,0,2,1,3,2
53,A woman in a black skirt and dark red sweater with holes in the sleeves sitting on a trunk to put on red flame tights.,The lady wasn't ready to perform yet,0,1,0,1,2,1,1,3,0,0,3,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
54,"Two athletes, one with red shorts and shirt and the other with blue shorts jumping through hurdles with cameramen behind them snapping photos.",Two athleates chase some cameramen away from the hurdles.,0,0,0,2,0,2,0,0,2,2,0,2,9,0,7,0,1,0,0,1,2,0,1,2,0,1,2,1,0,2
55,A young man with a v-neck considers a water jug while standing next to a black motorcycle.,The young man is folding laundry,0,1,0,1,1,1,1,1,0,0,1,0,1,8,0,0,0,1,0,0,1,0,3,1,0,2,4,7,6,9
56,A child and dog are shown silohuetted in afternoon sun in front of a lake or pond.,A kid and his rat are in new york,0,1,0,2,2,1,2,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,7,3,5
57,Rock climber without a rope.,A rock climber is climbing his rope.,0,1,0,1,1,1,1,1,0,0,1,0,8,1,0,0,1,0,0,1,2,0,1,2,0,1,2,7,7,2
58,A group of people waiting in a train station.,There are no people at the train station.,0,0,0,2,0,1,0,0,0,2,0,0,9,5,0,0,0,0,0,0,2,0,3,2,0,3,2,1,3,2
