index,premise,hypothesis,original_index
0,A young couple posing on a couch.,A couple dance together at prom.,4
1,"One man runs with a rugby ball, while another tries to tackle him from behind his left shoulder, on a sand field.",People are playing soccer.,5
2,A girl with bright red-hair and black clothes is posing on a tree trunk.,A girl sits on a curb.,6
3,A woman in a gray top gestures next to a woman with a knit had holding a wineglass.,The two women are in seperate rooms,10
4,A bearded man in jeans and a blue shirt is outdoors holding a rainbow elephant painted on poster board.,A bearded man is outdoors holding a giraffe\,15
5,A man in a black hat walks down the street.,The man is sleeping.,23
6,A stadium full of people watch a game.,People eating bananas,24
7,A man with a skateboard performs a trick.,The man is eating at the table.,26
8,A couple posing in wigs,The people's bodies are in no way touching any surface or object or substance except the ground they are standing on.,27
9,A little dark-haired girl in a blue dress is playing with a pink Hula Hoop.,A girl is playing with pom poms.,31
10,"Two people sitting on the grass, presumably lovers, with a heart shape behind them.",Two lover on a hot air balloon.,34
11,Small children enjoy themselves sledding.,The children are enjoying themselves as they perform activities typically associated with hot summer days.,35
12,A man in a British shirt is standing with a cane.,A woman in a cuban hat is swimming with a cane.,43
13,A Chinese olympian lifting weights in a competition.,A man is sleeping.,47
14,"From one girl tackling another, I say hold on to your drink!",A boy eats a snack.,48
15,A dog is jumping across an obstacle.,A dog is sleeping in a cage.,50
16,A child climbing up a set of cement stairs.,A child climbing on a jungle gym.,54
17,Hockey players prepare for a face off before a crowd in an arena.,Players are in the lockerroom,56
18,A man is banging on pots and pans in his kitchen.,The man hasn't made any noise all day.,60
19,A man carving a wooden statue with a chainsaw.,A woman carving a wooden statue with a chainsaw.,61
20,"A player watches the tennis ball he hit go flying, as the crowd watches.",No one is watching the tennis player.,66
21,A security officer is monitoring the crowd across the water.,Paul Blart eats a hot dog.,68
22,A man dressed in a light shirt and coveralls attempting to work on a train locomotive.,The man is riding a train.,73
23,Two cyclists cross the street on a very breezy California day.,a group of people swimming,77
24,This guy in the green shirt is showing how easy it is to jump and act a fool on wet surface.,A man is swimming in the ocean.,78
25,A woman in pink is standing alone in the middle of the street.,The woman is wearing black.,81
26,A young boy is sitting in front of a computer and typing words onto the screen.,The boy is cleaning his room.,86
27,An elderly man swims with others.,A woman playing bridge.,89
28,Woman in pink shirt holding little boy.,a man holds a boy,92
29,A white dog with orange ribbons is jumping up to see a countertop.,A white dog eats from the bowl.,93
30,Black dog jumps for white ball.,The dog is sleeping.,95
31,A bike rider in the air above a ramp.,A bike rider standing at the opening gate.,97
32,A bride stands on the curb looking down the road.,the bride stayed in the hotel all day due to the rain,99
33,A man holds on to the tree while holding a yellow container.,A man sits at a kitchen table.,100
34,A bunch of businessmen are gathered for a meeting.,A group of businessmen are playing hockey indoors.,101
35,A crowd of villagers in colorful hats surrounding packages made from an old truck in a jungle.,The group is taking a tour of historical downtown London.,103
36,A lone person leans over the railing of a pier while enjoying a bag of chips.,A person is carrying women over to the bench where is dog 'Chips' is sitting and wagging his tail.,110
37,A group of people are standing together.,The people are sitting on the sidewalk far apart.,112
38,Two men in brown robes walk away from a columned building.,Two men were walking away from the nuclear blast that killed everyone else on earth.,118
39,Two men are sitting on the floor under a staircase playing guitars.,Two men are sitting and doing nothing.,120
40,soccer players stand on the field.,the field is ready for football.,123
41,A group of men and women are in the carnival ride.,The carnival is full of alien killer clowns.,125
42,A brown and black dog leaps through the freshly mown grass.,A person playing around on a sunny day.,127
43,Five ladies wearing leotards and ballerina shoes practicing in a studio.,Everyone is wearing Victorian dresses.,130
44,A man and a woman are standing in the middle of the highway looking at motorcycles on the road as traffic is passing.,The man is shooting laser beams from his eyes.,134
45,"A man is skating with his t-shirt tucked in his back pant which says ""Just Love me"".",A woman is sitting in a cafe.,141
46,A woman stands next to a worn vintage vehicle in a field.,A woman driving a truck through a field.,142
47,Two young men stand in front of a sign advertising a website.,3 men are in front of a victorias secret,144
48,A male is sitting in a chair with a blue surgical mask on.,A man stands to put on a mask.,147
49,A woman performing a dance move in an empty swimming pool with nike shoes on her feet.,she is dancing in her studio,148
50,Three women are crossing a street,The three women are driving to a store.,153
51,A man wearing a white shirt taking a nap with a green hat over his eyes.,The man is playing basketball.,154
52,An Asian woman in a skimpy top and g-string inspects her appearance while standing behind glass in a room.,The woman is wearing frumpy clothes.,156
53,A woman in a black skirt and dark red sweater with holes in the sleeves sitting on a trunk to put on red flame tights.,The lady wasn't ready to perform yet,157
54,"Two athletes, one with red shorts and shirt and the other with blue shorts jumping through hurdles with cameramen behind them snapping photos.",Two athleates chase some cameramen away from the hurdles.,158
55,A young man with a v-neck considers a water jug while standing next to a black motorcycle.,The young man is folding laundry,162
56,A child and dog are shown silohuetted in afternoon sun in front of a lake or pond.,A kid and his rat are in new york,165
57,Rock climber without a rope.,A rock climber is climbing his rope.,169
58,A group of people waiting in a train station.,There are no people at the train station.,173
59,A man is skateboarding in front of a group of people.,A man rides a surfboard on the back of a killer whale.,177
60,A man in costume looks rather amusing.,A man is naked,178
61,"An elderly Asian women, pushes a cart with bags on it, through the street.",The woman is white,189
62,An woman sits on a gray bench in front of a concrete wall with graffiti.,A young couple dances in a meadow.,190
63,A little boy is standing on a rock in front of a lake his arms flung wide.,A young boy takes a nap.,194
64,People sit in a lit alcove off a dark street.,People standing on the roof are dancing.,198
65,A cyclist leaning hard to make a sharp turn.,The cyclist is running,199
66,A hockey player is laying on the ice in front of the goal.,A baseball player is hitting a homerun.,200
67,A boy jumping a rail on his skateboard.,A boy is playing video games.,203
