index,premise,hypothesis
0,A young couple posing on a couch.,A couple dance together at prom.
1,"One man runs with a rugby ball, while another tries to tackle him from behind his left shoulder, on a sand field.",People are playing soccer.
2,A girl with bright red-hair and black clothes is posing on a tree trunk.,A girl sits on a curb.
3,A woman in a gray top gestures next to a woman with a knit had holding a wineglass.,The two women are in seperate rooms
4,A bearded man in jeans and a blue shirt is outdoors holding a rainbow elephant painted on poster board.,A bearded man is outdoors holding a giraffe\
5,A man in a black hat walks down the street.,The man is sleeping.
6,A stadium full of people watch a game.,People eating bananas
7,A man with a skateboard performs a trick.,The man is eating at the table.
8,A couple posing in wigs,The people's bodies are in no way touching any surface or object or substance except the ground they are standing on.
9,A little dark-haired girl in a blue dress is playing with a pink Hula Hoop.,A girl is playing with pom poms.
10,"Two people sitting on the grass, presumably lovers, with a heart shape behind them.",Two lover on a hot air balloon.
11,Small children enjoy themselves sledding.,The children are enjoying themselves as they perform activities typically associated with hot summer days.
12,A man in a British shirt is standing with a cane.,A woman in a cuban hat is swimming with a cane.
13,A Chinese olympian lifting weights in a competition.,A man is sleeping.
14,"From one girl tackling another, I say hold on to your drink!",A boy eats a snack.
15,A dog is jumping across an obstacle.,A dog is sleeping in a cage.
16,A child climbing up a set of cement stairs.,A child climbing on a jungle gym.
17,Hockey players prepare for a face off before a crowd in an arena.,Players are in the lockerroom
18,A man is banging on pots and pans in his kitchen.,The man hasn't made any noise all day.
19,A man carving a wooden statue with a chainsaw.,A woman carving a wooden statue with a chainsaw.
20,"A player watches the tennis ball he hit go flying, as the crowd watches.",No one is watching the tennis player.
21,A security officer is monitoring the crowd across the water.,Paul Blart eats a hot dog.
22,A man dressed in a light shirt and coveralls attempting to work on a train locomotive.,The man is riding a train.
23,Two cyclists cross the street on a very breezy California day.,a group of people swimming
24,This guy in the green shirt is showing how easy it is to jump and act a fool on wet surface.,A man is swimming in the ocean.
25,A woman in pink is standing alone in the middle of the street.,The woman is wearing black.
26,A young boy is sitting in front of a computer and typing words onto the screen.,The boy is cleaning his room.
27,An elderly man swims with others.,A woman playing bridge.
28,Woman in pink shirt holding little boy.,a man holds a boy
29,A white dog with orange ribbons is jumping up to see a countertop.,A white dog eats from the bowl.
30,Black dog jumps for white ball.,The dog is sleeping.
31,A bike rider in the air above a ramp.,A bike rider standing at the opening gate.
32,A bride stands on the curb looking down the road.,the bride stayed in the hotel all day due to the rain
33,A man holds on to the tree while holding a yellow container.,A man sits at a kitchen table.
34,A bunch of businessmen are gathered for a meeting.,A group of businessmen are playing hockey indoors.
35,A crowd of villagers in colorful hats surrounding packages made from an old truck in a jungle.,The group is taking a tour of historical downtown London.
36,A lone person leans over the railing of a pier while enjoying a bag of chips.,A person is carrying women over to the bench where is dog 'Chips' is sitting and wagging his tail.
37,A group of people are standing together.,The people are sitting on the sidewalk far apart.
38,Two men in brown robes walk away from a columned building.,Two men were walking away from the nuclear blast that killed everyone else on earth.
39,Two men are sitting on the floor under a staircase playing guitars.,Two men are sitting and doing nothing.
40,soccer players stand on the field.,the field is ready for football.
41,A group of men and women are in the carnival ride.,The carnival is full of alien killer clowns.
42,A brown and black dog leaps through the freshly mown grass.,A person playing around on a sunny day.
43,Five ladies wearing leotards and ballerina shoes practicing in a studio.,Everyone is wearing Victorian dresses.
44,A man and a woman are standing in the middle of the highway looking at motorcycles on the road as traffic is passing.,The man is shooting laser beams from his eyes.
45,"A man is skating with his t-shirt tucked in his back pant which says ""Just Love me"".",A woman is sitting in a cafe.
46,A woman stands next to a worn vintage vehicle in a field.,A woman driving a truck through a field.
47,Two young men stand in front of a sign advertising a website.,3 men are in front of a victorias secret
48,A male is sitting in a chair with a blue surgical mask on.,A man stands to put on a mask.
49,A woman performing a dance move in an empty swimming pool with nike shoes on her feet.,she is dancing in her studio
50,Three women are crossing a street,The three women are driving to a store.
51,A man wearing a white shirt taking a nap with a green hat over his eyes.,The man is playing basketball.
52,An Asian woman in a skimpy top and g-string inspects her appearance while standing behind glass in a room.,The woman is wearing frumpy clothes.
53,A woman in a black skirt and dark red sweater with holes in the sleeves sitting on a trunk to put on red flame tights.,The lady wasn't ready to perform yet
54,"Two athletes, one with red shorts and shirt and the other with blue shorts jumping through hurdles with cameramen behind them snapping photos.",Two athleates chase some cameramen away from the hurdles.
55,A young man with a v-neck considers a water jug while standing next to a black motorcycle.,The young man is folding laundry
56,A child and dog are shown silohuetted in afternoon sun in front of a lake or pond.,A kid and his rat are in new york
57,Rock climber without a rope.,A rock climber is climbing his rope.
58,A group of people waiting in a train station.,There are no people at the train station.
59,A man is skateboarding in front of a group of people.,A man rides a surfboard on the back of a killer whale.
60,A man in costume looks rather amusing.,A man is naked
61,"An elderly Asian women, pushes a cart with bags on it, through the street.",The woman is white
62,An woman sits on a gray bench in front of a concrete wall with graffiti.,A young couple dances in a meadow.
63,A little boy is standing on a rock in front of a lake his arms flung wide.,A young boy takes a nap.
64,People sit in a lit alcove off a dark street.,People standing on the roof are dancing.
65,A cyclist leaning hard to make a sharp turn.,The cyclist is running
66,A hockey player is laying on the ice in front of the goal.,A baseball player is hitting a homerun.
67,A boy jumping a rail on his skateboard.,A boy is playing video games.
68,A girl is looking at a tripod.,the girls is looking at the moon
69,Smoke has filled the air and the buildings preventing the firefighter from entering the building.,The firefighter is at the station taking a nap.
70,A woman and young girl are sitting at a table and dipping fruit in liquid chocolate.,They are eating tacos.
71,The young ladie takes a goalie kick during a soccer match.,The young ladie prepares to step onto the ice
72,Small children romping through a park.,The children were all sleeping.
73,The lake looks very shallow.,The lake is fifty feet deep.
74,A large gray dog carrying a ball in its mouth runs across the grass towards the camera.,A large gray cat carrying a ball in its mouth runs across the grass towards the camera.
75,Two gentlemen outside beside a log.,The men are on a bed.
76,A group of children playing in the water fountain.,A group of children are sleeping.
77,Seniors gathered around a table.,The children are gathered around a table.
78,Three men in an auditorium prepare to tape something.,The shot only shows some women swimming.
79,A crowd of people waiting for the light.,people are eating food at a restaurant.
80,A woman stands next to a coastline in a blue sweatshirt and jeans holding a camera.,The woman is swimming in the ocean.
81,A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track.,The dog is laying down.
